Notes,Cancer Sites,Cancer Sites Code,Sex,Sex Code,Year,Year Code,Region,Region Code,State,State Code,Count
,Melanoma of the Skin,25010,Female,F,1999,1999,Northeast,CENS-R1,Connecticut,9,326
,Melanoma of the Skin,25010,Female,F,1999,1999,Northeast,CENS-R1,Maine,23,122
,Melanoma of the Skin,25010,Female,F,1999,1999,Northeast,CENS-R1,Massachusetts,25,498
,Melanoma of the Skin,25010,Female,F,1999,1999,Northeast,CENS-R1,New Hampshire,33,124
,Melanoma of the Skin,25010,Female,F,1999,1999,Northeast,CENS-R1,Rhode Island,44,81
,Melanoma of the Skin,25010,Female,F,1999,1999,Northeast,CENS-R1,Vermont,50,78
,Melanoma of the Skin,25010,Female,F,1999,1999,Northeast,CENS-R1,New Jersey,34,561
,Melanoma of the Skin,25010,Female,F,1999,1999,Northeast,CENS-R1,New York,36,836
,Melanoma of the Skin,25010,Female,F,1999,1999,Northeast,CENS-R1,Pennsylvania,42,757
,Melanoma of the Skin,25010,Female,F,1999,1999,Midwest,CENS-R2,Illinois,17,584
,Melanoma of the Skin,25010,Female,F,1999,1999,Midwest,CENS-R2,Indiana,18,345
,Melanoma of the Skin,25010,Female,F,1999,1999,Midwest,CENS-R2,Michigan,26,822
,Melanoma of the Skin,25010,Female,F,1999,1999,Midwest,CENS-R2,Ohio,39,682
,Melanoma of the Skin,25010,Female,F,1999,1999,Midwest,CENS-R2,Wisconsin,55,286
,Melanoma of the Skin,25010,Female,F,1999,1999,Midwest,CENS-R2,Iowa,19,241
,Melanoma of the Skin,25010,Female,F,1999,1999,Midwest,CENS-R2,Kansas,20,187
,Melanoma of the Skin,25010,Female,F,1999,1999,Midwest,CENS-R2,Minnesota,27,387
,Melanoma of the Skin,25010,Female,F,1999,1999,Midwest,CENS-R2,Missouri,29,254
,Melanoma of the Skin,25010,Female,F,1999,1999,Midwest,CENS-R2,Nebraska,31,124
,Melanoma of the Skin,25010,Female,F,1999,1999,Midwest,CENS-R2,North Dakota,38,24
,Melanoma of the Skin,25010,Female,F,1999,1999,South,CENS-R3,Delaware,10,44
,Melanoma of the Skin,25010,Female,F,1999,1999,South,CENS-R3,District of Columbia,11,20
,Melanoma of the Skin,25010,Female,F,1999,1999,South,CENS-R3,Florida,12,1248
,Melanoma of the Skin,25010,Female,F,1999,1999,South,CENS-R3,Georgia,13,418
,Melanoma of the Skin,25010,Female,F,1999,1999,South,CENS-R3,Maryland,24,405
,Melanoma of the Skin,25010,Female,F,1999,1999,South,CENS-R3,North Carolina,37,503
,Melanoma of the Skin,25010,Female,F,1999,1999,South,CENS-R3,South Carolina,45,289
,Melanoma of the Skin,25010,Female,F,1999,1999,South,CENS-R3,Virginia,51,419
,Melanoma of the Skin,25010,Female,F,1999,1999,South,CENS-R3,West Virginia,54,125
,Melanoma of the Skin,25010,Female,F,1999,1999,South,CENS-R3,Alabama,1,259
,Melanoma of the Skin,25010,Female,F,1999,1999,South,CENS-R3,Kentucky,21,368
,Melanoma of the Skin,25010,Female,F,1999,1999,South,CENS-R3,Tennessee,47,279
,Melanoma of the Skin,25010,Female,F,1999,1999,South,CENS-R3,Arkansas,5,125
,Melanoma of the Skin,25010,Female,F,1999,1999,South,CENS-R3,Louisiana,22,176
,Melanoma of the Skin,25010,Female,F,1999,1999,South,CENS-R3,Oklahoma,40,136
,Melanoma of the Skin,25010,Female,F,1999,1999,South,CENS-R3,Texas,48,814
,Melanoma of the Skin,25010,Female,F,1999,1999,West,CENS-R4,Arizona,4,371
,Melanoma of the Skin,25010,Female,F,1999,1999,West,CENS-R4,Colorado,8,356
,Melanoma of the Skin,25010,Female,F,1999,1999,West,CENS-R4,Idaho,16,99
,Melanoma of the Skin,25010,Female,F,1999,1999,West,CENS-R4,Montana,30,48
,Melanoma of the Skin,25010,Female,F,1999,1999,West,CENS-R4,Nevada,32,69
,Melanoma of the Skin,25010,Female,F,1999,1999,West,CENS-R4,New Mexico,35,104
,Melanoma of the Skin,25010,Female,F,1999,1999,West,CENS-R4,Utah,49,160
,Melanoma of the Skin,25010,Female,F,1999,1999,West,CENS-R4,Wyoming,56,33
,Melanoma of the Skin,25010,Female,F,1999,1999,West,CENS-R4,Alaska,2,21
,Melanoma of the Skin,25010,Female,F,1999,1999,West,CENS-R4,California,6,2355
,Melanoma of the Skin,25010,Female,F,1999,1999,West,CENS-R4,Hawaii,15,63
,Melanoma of the Skin,25010,Female,F,1999,1999,West,CENS-R4,Oregon,41,332
,Melanoma of the Skin,25010,Female,F,1999,1999,West,CENS-R4,Washington,53,606
,Melanoma of the Skin,25010,Female,F,2000,2000,Northeast,CENS-R1,Connecticut,9,377
,Melanoma of the Skin,25010,Female,F,2000,2000,Northeast,CENS-R1,Maine,23,97
,Melanoma of the Skin,25010,Female,F,2000,2000,Northeast,CENS-R1,Massachusetts,25,528
,Melanoma of the Skin,25010,Female,F,2000,2000,Northeast,CENS-R1,New Hampshire,33,106
,Melanoma of the Skin,25010,Female,F,2000,2000,Northeast,CENS-R1,Rhode Island,44,107
,Melanoma of the Skin,25010,Female,F,2000,2000,Northeast,CENS-R1,Vermont,50,90
,Melanoma of the Skin,25010,Female,F,2000,2000,Northeast,CENS-R1,New Jersey,34,621
,Melanoma of the Skin,25010,Female,F,2000,2000,Northeast,CENS-R1,New York,36,977
,Melanoma of the Skin,25010,Female,F,2000,2000,Northeast,CENS-R1,Pennsylvania,42,859
,Melanoma of the Skin,25010,Female,F,2000,2000,Midwest,CENS-R2,Illinois,17,671
,Melanoma of the Skin,25010,Female,F,2000,2000,Midwest,CENS-R2,Indiana,18,389
,Melanoma of the Skin,25010,Female,F,2000,2000,Midwest,CENS-R2,Michigan,26,778
,Melanoma of the Skin,25010,Female,F,2000,2000,Midwest,CENS-R2,Ohio,39,717
,Melanoma of the Skin,25010,Female,F,2000,2000,Midwest,CENS-R2,Wisconsin,55,342
,Melanoma of the Skin,25010,Female,F,2000,2000,Midwest,CENS-R2,Iowa,19,243
,Melanoma of the Skin,25010,Female,F,2000,2000,Midwest,CENS-R2,Kansas,20,195
,Melanoma of the Skin,25010,Female,F,2000,2000,Midwest,CENS-R2,Minnesota,27,403
,Melanoma of the Skin,25010,Female,F,2000,2000,Midwest,CENS-R2,Missouri,29,263
,Melanoma of the Skin,25010,Female,F,2000,2000,Midwest,CENS-R2,Nebraska,31,104
,Melanoma of the Skin,25010,Female,F,2000,2000,Midwest,CENS-R2,North Dakota,38,27
,Melanoma of the Skin,25010,Female,F,2000,2000,South,CENS-R3,Delaware,10,50
,Melanoma of the Skin,25010,Female,F,2000,2000,South,CENS-R3,Florida,12,1493
,Melanoma of the Skin,25010,Female,F,2000,2000,South,CENS-R3,Georgia,13,573
,Melanoma of the Skin,25010,Female,F,2000,2000,South,CENS-R3,Maryland,24,374
,Melanoma of the Skin,25010,Female,F,2000,2000,South,CENS-R3,North Carolina,37,572
,Melanoma of the Skin,25010,Female,F,2000,2000,South,CENS-R3,South Carolina,45,256
,Melanoma of the Skin,25010,Female,F,2000,2000,South,CENS-R3,Virginia,51,454
,Melanoma of the Skin,25010,Female,F,2000,2000,South,CENS-R3,West Virginia,54,138
,Melanoma of the Skin,25010,Female,F,2000,2000,South,CENS-R3,Alabama,1,250
,Melanoma of the Skin,25010,Female,F,2000,2000,South,CENS-R3,Kentucky,21,371
,Melanoma of the Skin,25010,Female,F,2000,2000,South,CENS-R3,Tennessee,47,266
,Melanoma of the Skin,25010,Female,F,2000,2000,South,CENS-R3,Arkansas,5,136
,Melanoma of the Skin,25010,Female,F,2000,2000,South,CENS-R3,Louisiana,22,197
,Melanoma of the Skin,25010,Female,F,2000,2000,South,CENS-R3,Oklahoma,40,172
