Notes,Cancer Sites,Cancer Sites Code,Race,Race Code,Mortality-Incidence Age-Adjusted Rate Ratio
,Melanoma of the Skin,25010,American Indian or Alaska Native,1002-5,0.115
,Melanoma of the Skin,25010,Asian or Pacific Islander,A-PI,0.247
,Melanoma of the Skin,25010,Black or African American,2054-5,0.384
,Melanoma of the Skin,25010,White,2106-3,0.123
,Melanoma of the Skin,25010,Hispanic,2106-3,0.166
,,,,,
---,,,,,
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2019 Mortality Incidence Rate Ratios",,,,,
Query Parameters:,,,,,
Cancer Sites: Melanoma of the Skin,,,,,
Race: American Indian or Alaska Native; Asian or Pacific Islander; Black or African American; White,,,,,
Group By: Cancer Sites; Race,,,,,
Show Totals: Disabled,,,,,
Show Zero Values: False,,,,,
Show Suppressed: False,,,,,
"Calculate Rates Per: 100,000",,,,,
Standard Population: 2000 U.S. Std. Million,,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/CancerMIR-v2019.html for more information.,,,,,
---,,,,,
"Query Date: Jul 23, 2023 12:45:14 PM",,,,,
---,,,,,
"Suggested Citation: United States Cancer Statistics - Mortality Incidence Rate Ratios: 1999 - 2019, WONDER Online Database.",,,,,
"United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute;",,,,,
"2021 submission; 2022 release. Accessed at http://wonder.cdc.gov/CancerMIR-v2019.html on Jul 23, 2023 12:45:14 PM",,,,,
---,,,,,
Footnotes:,,,,,
1. Caution should be used when interpreting these Mortality Incidence Rate Ratios as coding for death certificates and cancer,,,,,
incidence records may vary significantly. The cancer incidence records are likely to be coded to a more specific topographic,,,,,
site which may give a false impression of an elevated rate ratio. Ratio values greater than 1 are flagged as Unreliable.,,,,,
---,,,,,
Caveats:,,,,,
"1. The ""Show Totals"" checkbox is disabled when data are grouped by Cancer Sites because aggregate values are displayed in the",,,,,
table. Also be aware that charts and maps containing both aggregate and detail data could be misleading.,,,,,
"2. About rate comparisons: <ul><li> For consistency with the data on cancer incidence, the cancer sites in mortality data were",,,,,
"grouped according to the revised SEER recodes dated March 1, 2018 (see SEER Cause of Death Recodes:",,,,,
"http://seer.cancer.gov/codrecode/.). Because NCHS uses different groupings for some sites, the death rates in this report may",,,,,
"differ slightly from those published by NCHS. In addition, under the International Classification of Diseases (ICD), there are",,,,,
"differences in mortality and incidence coding. For example, there are several codes for mesothelioma in ICD-10 (depending on the",,,,,
"primary site). However in ICD-O-3, one code captures all of the primary sites that mesothelioma affects. Note that Kaposi",,,,,
"sarcoma deaths included in this dataset are only those deaths with underlying cause of death attributed to Kaposi Sarcoma, and",,,,,
"do not include deaths where the condition was a contributing cause of death, or subsequent to another underlying condition.",,,,,
"</li><li> The population used to age-adjust the rates in this report is the 2000 U.S. standard population, which is in",,,,,
accordance with a 1998 recommendation of the US. Department of Health and Human Services. The 2000 U.S. standard population is,,,,,
"based on the proportion of the 2000 population in specific age groups (younger than 1 year, 1-4 years, 5-9 years, 10-14 years,",,,,,
"15-19 years, . . . 85 years or older); the proportions of the 2000 population in these age groups serve as weights for",,,,,
"calculating age-adjusted incidence and death rates. NCHS, however, uses a different set of age groups in its age adjustment of",,,,,
"death rates, and thus the cancer death rates in this report may differ slightly from those published by NCHS. </li><li> Deaths",,,,,
of persons of unknown age are not included in this data set. Death rates may differ slightly from other reports where deaths of,,,,,
persons of unknown age are included. </li></ul>,,,,,
"3. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and",,,,,
Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for,,,,,
"these states, nor are these counts included in the summary populations for the affected division, regions or national",,,,,
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005.",,,,,
4. Incidence data are from selected statewide and metropolitan area cancer registries that meet data quality criteria. Data,,,,,
"shown for the United States are diagnoses, deaths and populations only from places and years for included cancer registries.",,,,,
