,Rate of New Cases - Seer8,,Rate of New Cases - Seer12,,Death Rate,,5 Year Relative Survival -Seer 8,
Year,Observed,Modeled Trend,Observed,Modeled Trend,Observed,Modeled Trend,Observed,Modeled Trend
1975,8.78,8.56,-,-,2.07,2.18,82.41%,81.16%
1976,8.84,9,-,-,2.24,2.22,83.81%,81.79%
1977,9.65,9.46,-,-,2.27,2.25,82.66%,82.41%
1978,9.64,9.94,-,-,2.31,2.29,82.77%,83.00%
1979,10.19,10.45,-,-,2.42,2.33,83.46%,83.58%
1980,11.1,10.99,-,-,2.34,2.37,84.85%,84.14%
1981,11.68,11.55,-,-,2.43,2.41,80.87%,84.69%
1982,11.58,11.87,-,-,2.46,2.45,84.38%,85.21%
1983,11.9,12.2,-,-,2.48,2.49,84.98%,85.72%
1984,12.1,12.54,-,-,2.53,2.53,85.42%,86.22%
1985,13.59,12.89,-,-,2.56,2.57,87.19%,86.70%
1986,13.64,13.25,-,-,2.59,2.61,88.27%,87.16%
1987,14.44,13.61,-,-,2.65,2.65,87.75%,87.61%
1988,13.59,13.99,-,-,2.65,2.7,88.96%,88.04%
1989,14.4,14.38,-,-,2.69,2.7,88.21%,88.46%
1990,14.46,14.78,-,-,2.75,2.7,89.09%,88.87%
1991,15.28,15.19,-,-,2.71,2.7,89.90%,89.26%
1992,15.54,15.61,14.57,14.63,2.71,2.7,88.68%,89.64%
1993,15.27,16.04,14.14,15,2.71,2.7,90.24%,90.00%
1994,16.32,16.49,15.13,15.38,2.66,2.7,88.94%,90.36%
1995,17.17,16.94,16.24,15.76,2.7,2.7,90.31%,90.70%
1996,18.01,17.41,16.87,16.16,2.8,2.7,92.30%,91.03%
1997,18.4,17.9,17.14,16.56,2.73,2.7,90.02%,91.35%
1998,18.18,18.39,16.87,16.98,2.75,2.7,91.04%,91.66%
1999,18.69,18.9,17.49,17.41,2.63,2.7,92.09%,91.96%
2000,19.8,19.43,18.06,17.84,2.66,2.7,92.51%,92.25%
2001,20.15,19.97,18.61,18.29,2.66,2.7,92.28%,92.52%
2002,19.61,20.52,17.97,18.75,2.61,2.7,92.88%,92.79%
2003,19.98,21.09,18.14,19.22,2.67,2.7,93.10%,93.05%
2004,21.64,21.68,19.42,19.7,2.67,2.7,93.29%,93.30%
2005,23.5,22.28,20.85,20.19,2.76,2.7,93.41%,93.54%
2006,23.42,22.89,20.75,20.7,2.74,2.7,93.62%,93.78%
2007,22.99,23.53,20.76,20.94,2.68,2.7,93.94%,94.00%
2008,24.37,24.18,21.65,21.19,2.69,2.7,94.16%,94.22%
2009,24.55,24.47,21.4,21.44,2.81,2.7,93.93%,94.43%
2010,25.49,24.76,22.26,21.69,2.74,2.7,94.57%,94.63%
2011,24.17,25.06,21.08,21.94,2.69,2.71,94.45%,94.83%
2012,24.05,25.36,21.28,22.2,2.66,2.71,95.60%,95.01%
2013,25.34,25.66,22.34,22.46,2.67,2.71,96.39%,95.19%
2014,26.76,25.96,23.64,22.72,2.57,2.54,96.35%,95.37%
2015,27.13,26.27,23.75,22.98,2.41,2.38,96.55%,95.54%
2016,26.94,26.58,23.66,23.25,2.17,2.23,-,95.70%
2017,26.91,26.9,23.45,23.52,2.09,2.09,-,95.86%
2018,26.53,27.22,22.97,23.8,2.09,2.06,-,96.01%
2019,27.61,27.55,24.05,24.08,2.01,2.03,-,96.16%
2020,23.52,-,20.23,-,2.02,2.01,-,96.30%
