Cancer Sites,Cancer Sites Code,Year,Year Code,Age Groups,Age Groups Code,Sex,Sex Code,Count
Melanoma of the Skin,25010,1999,1999,10-14 years,10-14,Female,F,41
Melanoma of the Skin,25010,1999,1999,10-14 years,10-14,Male,M,26
Melanoma of the Skin,25010,1999,1999,15-19 years,15-19,Female,F,160
Melanoma of the Skin,25010,1999,1999,15-19 years,15-19,Male,M,101
Melanoma of the Skin,25010,1999,1999,20-24 years,20-24,Female,F,424
Melanoma of the Skin,25010,1999,1999,20-24 years,20-24,Male,M,218
Melanoma of the Skin,25010,1999,1999,25-29 years,25-29,Female,F,754
Melanoma of the Skin,25010,1999,1999,25-29 years,25-29,Male,M,442
Melanoma of the Skin,25010,1999,1999,30-34 years,30-34,Female,F,1027
Melanoma of the Skin,25010,1999,1999,30-34 years,30-34,Male,M,680
Melanoma of the Skin,25010,1999,1999,35-39 years,35-39,Female,F,1499
Melanoma of the Skin,25010,1999,1999,35-39 years,35-39,Male,M,1103
Melanoma of the Skin,25010,1999,1999,40-44 years,40-44,Female,F,1661
Melanoma of the Skin,25010,1999,1999,40-44 years,40-44,Male,M,1670
Melanoma of the Skin,25010,1999,1999,45-49 years,45-49,Female,F,1705
Melanoma of the Skin,25010,1999,1999,45-49 years,45-49,Male,M,1982
Melanoma of the Skin,25010,1999,1999,50-54 years,50-54,Female,F,1660
Melanoma of the Skin,25010,1999,1999,50-54 years,50-54,Male,M,2366
Melanoma of the Skin,25010,1999,1999,55-59 years,55-59,Female,F,1334
Melanoma of the Skin,25010,1999,1999,55-59 years,55-59,Male,M,2308
Melanoma of the Skin,25010,1999,1999,60-64 years ,60-64,Female,F,1241
Melanoma of the Skin,25010,1999,1999,60-64 years ,60-64,Male,M,2297
Melanoma of the Skin,25010,1999,1999,65-69 years,65-69,Female,F,1344
Melanoma of the Skin,25010,1999,1999,65-69 years,65-69,Male,M,2548
Melanoma of the Skin,25010,1999,1999,70-74 years,70-74,Female,F,1400
Melanoma of the Skin,25010,1999,1999,70-74 years,70-74,Male,M,2797
Melanoma of the Skin,25010,1999,1999,75-79 years,75-79,Female,F,1357
Melanoma of the Skin,25010,1999,1999,75-79 years,75-79,Male,M,2350
Melanoma of the Skin,25010,1999,1999,80-84 years,80-84,Female,F,990
Melanoma of the Skin,25010,1999,1999,80-84 years,80-84,Male,M,1613
Melanoma of the Skin,25010,1999,1999,85+ years,85+,Female,F,958
Melanoma of the Skin,25010,1999,1999,85+ years,85+,Male,M,1064
Melanoma of the Skin,25010,2000,2000,10-14 years,10-14,Female,F,30
Melanoma of the Skin,25010,2000,2000,10-14 years,10-14,Male,M,37
Melanoma of the Skin,25010,2000,2000,15-19 years,15-19,Female,F,168
Melanoma of the Skin,25010,2000,2000,15-19 years,15-19,Male,M,131
Melanoma of the Skin,25010,2000,2000,20-24 years,20-24,Female,F,489
Melanoma of the Skin,25010,2000,2000,20-24 years,20-24,Male,M,243
Melanoma of the Skin,25010,2000,2000,25-29 years,25-29,Female,F,777
Melanoma of the Skin,25010,2000,2000,25-29 years,25-29,Male,M,466
Melanoma of the Skin,25010,2000,2000,30-34 years,30-34,Female,F,1111
Melanoma of the Skin,25010,2000,2000,30-34 years,30-34,Male,M,733
Melanoma of the Skin,25010,2000,2000,35-39 years,35-39,Female,F,1545
Melanoma of the Skin,25010,2000,2000,35-39 years,35-39,Male,M,1165
Melanoma of the Skin,25010,2000,2000,40-44 years,40-44,Female,F,1853
Melanoma of the Skin,25010,2000,2000,40-44 years,40-44,Male,M,1691
Melanoma of the Skin,25010,2000,2000,45-49 years,45-49,Female,F,1833
Melanoma of the Skin,25010,2000,2000,45-49 years,45-49,Male,M,2074
Melanoma of the Skin,25010,2000,2000,50-54 years,50-54,Female,F,1753
Melanoma of the Skin,25010,2000,2000,50-54 years,50-54,Male,M,2550
Melanoma of the Skin,25010,2000,2000,55-59 years,55-59,Female,F,1499
Melanoma of the Skin,25010,2000,2000,55-59 years,55-59,Male,M,2402
