Symbol	Name	# SSM Affected Cases in Cohort	# SSM Affected Cases Across the GDC	# CNV Gain	# CNV Loss	# Mutations	Annotations	Survival
MUC16	mucin 16, cell surface associated	284 / 382 (74.35%)	2,824 / 14,783	48 / 366 (13.11%)	60 / 366 (16.39%)	1,504	Cancer Gene Census	add to survival plot
BRAF	B-Raf proto-oncogene, serine/threonine kinase	188 / 382 (49.21%)	947 / 14,783	193 / 366 (52.73%)	10 / 366 (2.73%)	34	Cancer Gene Census	add to survival plot
LRP1B	LDL receptor related protein 1B	179 / 382 (46.86%)	1,742 / 14,783	61 / 366 (16.67%)	34 / 366 (9.29%)	367	Cancer Gene Census	add to survival plot
FAT3	FAT atypical cadherin 3	153 / 382 (40.05%)	1,392 / 14,783	31 / 366 (8.47%)	133 / 366 (36.34%)	279	Cancer Gene Census	add to survival plot
FAT4	FAT atypical cadherin 4	152 / 382 (39.79%)	1,394 / 14,783	36 / 366 (9.84%)	92 / 366 (25.14%)	305	Cancer Gene Census	add to survival plot
CSMD3	CUB and Sushi multiple domains 3	148 / 382 (38.74%)	1,945 / 14,783	158 / 366 (43.17%)	14 / 366 (3.83%)	262	Cancer Gene Census	add to survival plot
PTPRT	protein tyrosine phosphatase receptor type T	146 / 382 (38.22%)	793 / 14,783	152 / 366 (41.53%)	8 / 366 (2.19%)	201	Cancer Gene Census	add to survival plot
GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	130 / 382 (34.03%)	757 / 14,783	59 / 366 (16.12%)	43 / 366 (11.75%)	198	Cancer Gene Census	add to survival plot
NRAS	NRAS proto-oncogene, GTPase	117 / 382 (30.63%)	617 / 14,783	71 / 366 (19.40%)	67 / 366 (18.31%)	16	Cancer Gene Census	add to survival plot
FAM135B	family with sequence similarity 135 member B	115 / 382 (30.10%)	933 / 14,783	164 / 366 (44.81%)	19 / 366 (5.19%)	174	Cancer Gene Census	add to survival plot
DCC	DCC netrin 1 receptor	109 / 382 (28.53%)	737 / 14,783	43 / 366 (11.75%)	82 / 366 (22.40%)	154	Cancer Gene Census	add to survival plot
CNTNAP2	contactin associated protein 2	108 / 382 (28.27%)	796 / 14,783	187 / 366 (51.09%)	13 / 366 (3.55%)	133	Cancer Gene Census	add to survival plot
PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	105 / 382 (27.49%)	684 / 14,783	140 / 366 (38.25%)	16 / 366 (4.37%)	154	Cancer Gene Census	add to survival plot
ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	101 / 382 (26.44%)	596 / 14,783	19 / 366 (5.19%)	191 / 366 (52.19%)	135	Cancer Gene Census	add to survival plot
MECOM	MDS1 and EVI1 complex locus	96 / 382 (25.13%)	433 / 14,783	62 / 366 (16.94%)	58 / 366 (15.85%)	100	Cancer Gene Census	add to survival plot
PTPRB	protein tyrosine phosphatase receptor type B	95 / 382 (24.87%)	620 / 14,783	57 / 366 (15.57%)	49 / 366 (13.39%)	142	Cancer Gene Census	add to survival plot
PTPRD	protein tyrosine phosphatase receptor type D	91 / 382 (23.82%)	755 / 14,783	19 / 366 (5.19%)	229 / 366 (62.57%)	128	Cancer Gene Census	add to survival plot
COL3A1	collagen type III alpha 1 chain	87 / 382 (22.77%)	563 / 14,783	56 / 366 (15.30%)	40 / 366 (10.93%)	122	Cancer Gene Census	add to survival plot
